JN558040.1_Symbiodinium_sp._C1	KR996308.1_Symbiodinium_thermophilum	JN558045.1_Symbiodinium_sp._C90	JN558048.1_Symbiodinium_sp._C91	JN558042.1_Symbiodinium_sp._C15	JN558051.1_Symbiodinium_sp._H1	JN558053.1_Symbiodinium_sp._H1a	AJ291513.1_Symbiodinium_sp._clade_H_751	AJ621148.1_Symbiodinium_sp._H_isolate_FL34_1286x	AJ291520.2_Symbiodinium_sp._clade_H_isolate_1678J	MT015652.1_Symbiodinium_sp_P1C4_Clade_H_Heron_Island	JQ247043.1_Symbiodinium_sp._F2	JQ247044.1_Symbiodinium_sp._F2ae	AJ830912.1_Symbiodinium_sp._clade_F_isolate_El67b_1335j	AJ830914.1_Symbiodinium_sp._clade_F_El52_1320j	JQ247046.1_Symbiodinium_sp._F3.2	AJ872076.1_Symbiodinium_sp._clade_F_isolate_MS8_5243X	AJ830916.1_Symbiodinium_sp._clade_F_isolate_MS26_5244x	MT015653.1_Symbiodinium_sp_P2D2_Clade_Fr3_Heron_Island	JQ247045.1_Symbiodinium_sp._F3.1a	AJ308895.1_Symbiodinium_sp._FG188C1	AJ291525.1_Symbiodinium_sp._clade_F_isolate_1635_	MT015654.1_Symbiodinium_sp_P1G6_Clade_Fr3_Heron_Island	JQ247047.1_Symbiodinium_sp._F4.1	AJ621146.1_Symbiodinium_sp._F_isolate_FL77_1349x	JQ247048.1_Symbiodinium_sp._F4.8	AJ621145.1_Symbiodinium_sp._F_isolate_FL74_1334x	AJ291527.1_Symbiodinium_sp._F_isolate_836	AJ621135.1_Symbiodinium_sp._F_isolate_PC227_1628x	LK934666.1_Symbiodinium_kawagutii	JN558066.1_Symbiodinium_sp._F1	JN558072.1_Symbiodinium_sp._F5.2g	AJ872077.1_Symbiodinium_sp._clade_F_isolate_RII40_971X	JN558063.1_Symbiodinium_sp._F5.1	JN558069.1_Symbiodinium_sp._F5.1d	KT149349.1_Symbiodinium_minutum_strain_Mf	KT149346.1_Symbiodinium_antillogorgium	KT149350.1_Symbiodinium_pseudominutum	KT149347.1_Symbiodinium_endomadracis	LK934671.1_Symbiodinium_psygmophilum	KT149345.1_Symbiodinium_aenigmaticum	FN561559.1_Symbiodinium_sp._nr_I1	FN561560.1_Symbiodinium_sp._nr_I2	LC503502.1	LC503503.1	LC503504.1	LC503505.1	KY131782.1_Symbiodinium_glynnii	KF740686.1_Symbiodinium_sp._D8	JN558078.1_Symbiodinium_sp._D1a	KF740688.1_Symbiodinium_sp._D15	JQ247049.1_Symbiodinium_sp._D1.1	JN558081.1_Symbiodinium_sp._D1.2	KM972549.1_Symbiodinium_microadriaticum	KP114226.1_Symbiodinium_sp._TLJ_2015c_strain_CCMP_2469	JN558094.1_Symbiodinium_sp._A13	KM816405.1_Symbiodinium_sp._TLJ_2015a_strain_CCMP_832	JN558091.1_Symbiodinium_sp._A3	KF740671.1_Symbiodinium_pilosum	JN558097.1_Symbiodinium_sp._A2	JN558100.1_Symbiodinium_sp._A2	JN558103.1_Protodinium_simplex	JN558084.1_Symbiodinium_sp._E1	HF568830.1_Symbiodinium_voratum	JN558089.1_Symbiodinium_sp._G2	JN558088.1_Symbiodinium_sp._G2b	MF322789.1_Symbiodinium_endoclionum	MF322787.1_Symbiodinium_spongiolum	KF740677.1_Symbiodinium_sp._C7a
AJ291525.1_Symbiodinium_sp._clade_F_isolate_1635_	0.1646024007	0.1646024007	0.1646013985	0.1629344183	0.1630122414	0.1730817113	0.1712217784	0.1712217784	0.1749530653	0.1806733482	0.1686968976	0.0937054357	0.1004515718	0.117822647	0.1144127176	0.0222955254	0.0206318413	0.0206318413	0.0241227403	0.0033213313	0.0016565781	0	0.0372054753	0.1625985537	0.1557976387	0.1610937023	0.1593388274	0.1593388274	0.1593378252	0.194234611	0.1856726312	0.1704517289	0.1772558033	0.1728322885	0.1710749945	0.2237328478	0.2237328478	0.2220424075	0.2220424075	0.2169279966	0.2203267999	0.2919833753	0.2904659133	0.3380731874	0.3380760492	0.3330513928	0.3313861644	0.3863512552	0.3846946984	0.3846936962	0.3863470451	0.3529265842	0.3363941717	0.5359364265	0.5375860286	0.5375860286	0.53912805	0.5407838458	0.5326977254	0.5310495912	0.5326981372	0.6751626396	0.5349397562	0.5332853434	0.4849043707	0.4815445618	0.4500110502	0.4533716293	0.1749814815
MT015654.1_Symbiodinium_sp_P1G6_Clade_Fr3_Heron_Island	0.1588228682	0.1588228682	0.158821866	0.1571548858	0.1572327089	0.1673021788	0.1654422459	0.1654422459	0.1691735328	0.1748938157	0.1629173651	0.1030771858	0.1098233219	0.1271943971	0.1237844677	0.0316672755	0.0300035914	0.0300035914	0.0334944904	0.0405227978	0.038860049	0.0372054753	0	0.1568190212	0.1500181062	0.1553141698	0.1535592949	0.1535592949	0.1535582927	0.1884550785	0.1798930987	0.1646721964	0.1714762708	0.167052756	0.165295462	0.2179533153	0.2179533153	0.216262875	0.216262875	0.2111484641	0.2145472674	0.2862038428	0.2846863808	0.3322936549	0.3322965167	0.3272718603	0.3256066319	0.3805717227	0.3789151659	0.3789141637	0.3805675126	0.3471470517	0.3306146392	0.530156894	0.5318064961	0.5318064961	0.5333485175	0.5350043133	0.5269181929	0.5252700587	0.5269186047	0.6693831071	0.5291602237	0.5275058109	0.4791248382	0.4757650293	0.4442315177	0.4475920968	0.169201949
JQ247047.1_Symbiodinium_sp._F4.1	0.2080086286	0.2080086286	0.2080076264	0.2063406462	0.2064184693	0.2164879392	0.2146280063	0.2146280063	0.2183592932	0.2240795761	0.2121031255	0.2284702642	0.2352164003	0.2525874755	0.2491775461	0.1570603539	0.1553966698	0.1553966698	0.1588875688	0.1659158762	0.1642531274	0.1625985537	0.1568190212	0	0.0068029194	0.03486107	0.0331061951	0.0331061951	0.0331051929	0.2376408389	0.2290788591	0.2138579568	0.2206620312	0.2162385164	0.2144812224	0.2671390757	0.2671390757	0.2654486354	0.2654486354	0.2603342245	0.2637330278	0.3353896032	0.3338721412	0.3814794153	0.3814822771	0.3764576207	0.3747923923	0.4297574831	0.4281009263	0.4280999241	0.429753273	0.3963328121	0.3798003996	0.5793426544	0.5809922565	0.5809922565	0.5825342779	0.5841900737	0.5761039533	0.5744558191	0.5761043651	0.7185688675	0.5783459841	0.5766915713	0.5283105986	0.5249507897	0.4934172781	0.4967778572	0.2183877094
AJ621146.1_Symbiodinium_sp._F_isolate_FL77_1349x	0.2012077136	0.2012077136	0.2012067114	0.1995397312	0.1996175543	0.2096870242	0.2078270913	0.2078270913	0.2115583782	0.2172786611	0.2053022105	0.2216693492	0.2284154853	0.2457865605	0.2423766311	0.1502594389	0.1485957548	0.1485957548	0.1520866538	0.1591149612	0.1574522124	0.1557976387	0.1500181062	0.0068029194	0	0.028060155	0.0263052801	0.0263052801	0.0263042779	0.2308399239	0.2222779441	0.2070570418	0.2138611162	0.2094376014	0.2076803074	0.2603381607	0.2603381607	0.2586477204	0.2586477204	0.2535333095	0.2569321128	0.3285886882	0.3270712262	0.3746785003	0.3746813621	0.3696567057	0.3679914773	0.4229565681	0.4213000113	0.4212990091	0.422952358	0.3895318971	0.3729994846	0.5725417394	0.5741913415	0.5741913415	0.5757333629	0.5773891587	0.5693030383	0.5676549041	0.5693034501	0.7117679525	0.5715450691	0.5698906563	0.5215096836	0.5181498747	0.4866163631	0.4899769422	0.2115867944
JQ247048.1_Symbiodinium_sp._F4.8	0.2065037772	0.2065037772	0.206502775	0.2048357948	0.2049136179	0.2149830878	0.2131231549	0.2131231549	0.2168544418	0.2225747247	0.2105982741	0.2269654128	0.2337115489	0.2510826241	0.2476726947	0.1555555025	0.1538918184	0.1538918184	0.1573827174	0.1644110248	0.162748276	0.1610937023	0.1553141698	0.03486107	0.028060155	0	0.0050810685	0.0050810685	0.0050800663	0.2361359875	0.2275740077	0.2123531054	0.2191571798	0.214733665	0.212976371	0.2656342243	0.2656342243	0.263943784	0.263943784	0.2588293731	0.2622281764	0.3338847518	0.3323672898	0.3799745639	0.3799774257	0.3749527693	0.3732875409	0.4282526317	0.4265960749	0.4265950727	0.4282484216	0.3948279607	0.3782955482	0.577837803	0.5794874051	0.5794874051	0.5810294265	0.5826852223	0.5745991019	0.5729509677	0.5745995137	0.7170640161	0.5768411327	0.5751867199	0.5268057472	0.5234459383	0.4919124267	0.4952730058	0.216882858
AJ621145.1_Symbiodinium_sp._F_isolate_FL74_1334x	0.2047489023	0.2047489023	0.2047479001	0.2030809199	0.203158743	0.2132282129	0.21136828	0.21136828	0.2150995669	0.2208198498	0.2088433992	0.2252105379	0.231956674	0.2493277492	0.2459178198	0.1538006276	0.1521369435	0.1521369435	0.1556278425	0.1626561499	0.1609934011	0.1593388274	0.1535592949	0.0331061951	0.0263052801	0.0050810685	0	0.0000020044	0.0000030066	0.2343811126	0.2258191328	0.2105982305	0.2174023049	0.2129787901	0.2112214961	0.2638793494	0.2638793494	0.2621889091	0.2621889091	0.2570744982	0.2604733015	0.3321298769	0.3306124149	0.378219689	0.3782225508	0.3731978944	0.371532666	0.4264977568	0.4248412	0.4248401978	0.4264935467	0.3930730858	0.3765406733	0.5760829281	0.5777325302	0.5777325302	0.5792745516	0.5809303474	0.572844227	0.5711960928	0.5728446388	0.7153091412	0.5750862578	0.573431845	0.5250508723	0.5216910634	0.4901575518	0.4935181309	0.2151279831
AJ291527.1_Symbiodinium_sp._F_isolate_836	0.2047489023	0.2047489023	0.2047479001	0.2030809199	0.203158743	0.2132282129	0.21136828	0.21136828	0.2150995669	0.2208198498	0.2088433992	0.2252105379	0.231956674	0.2493277492	0.2459178198	0.1538006276	0.1521369435	0.1521369435	0.1556278425	0.1626561499	0.1609934011	0.1593388274	0.1535592949	0.0331061951	0.0263052801	0.0050810685	0.0000020044	0	0.0000030066	0.2343811126	0.2258191328	0.2105982305	0.2174023049	0.2129787901	0.2112214961	0.2638793494	0.2638793494	0.2621889091	0.2621889091	0.2570744982	0.2604733015	0.3321298769	0.3306124149	0.378219689	0.3782225508	0.3731978944	0.371532666	0.4264977568	0.4248412	0.4248401978	0.4264935467	0.3930730858	0.3765406733	0.5760829281	0.5777325302	0.5777325302	0.5792745516	0.5809303474	0.572844227	0.5711960928	0.5728446388	0.7153091412	0.5750862578	0.573431845	0.5250508723	0.5216910634	0.4901575518	0.4935181309	0.2151279831
AJ621135.1_Symbiodinium_sp._F_isolate_PC227_1628x	0.2047479001	0.2047479001	0.2047468979	0.2030799177	0.2031577408	0.2132272107	0.2113672778	0.2113672778	0.2150985647	0.2208188476	0.208842397	0.2252095357	0.2319556718	0.249326747	0.2459168176	0.1537996254	0.1521359413	0.1521359413	0.1556268403	0.1626551477	0.1609923989	0.1593378252	0.1535582927	0.0331051929	0.0263042779	0.0050800663	0.0000030066	0.0000030066	0	0.2343801104	0.2258181306	0.2105972283	0.2174013027	0.2129777879	0.2112204939	0.2638783472	0.2638783472	0.2621879069	0.2621879069	0.257073496	0.2604722993	0.3321288747	0.3306114127	0.3782186868	0.3782215486	0.3731968922	0.3715316638	0.4264967546	0.4248401978	0.4248391956	0.4264925445	0.3930720836	0.3765396711	0.5760819259	0.577731528	0.577731528	0.5792735494	0.5809293452	0.5728432248	0.5711950906	0.5728436366	0.715308139	0.5750852556	0.5734308428	0.5250498701	0.5216900612	0.4901565496	0.4935171287	0.2151269809
LK934666.1_Symbiodinium_kawagutii	0.2100578895	0.2100578895	0.2100568873	0.2083899071	0.2084677302	0.2185372001	0.2166772672	0.2166772672	0.2204085541	0.226128837	0.2141523864	0.2601063215	0.2668524576	0.2842235328	0.2808136034	0.1886964112	0.1870327271	0.1870327271	0.1905236261	0.1975519335	0.1958891847	0.194234611	0.1884550785	0.2376408389	0.2308399239	0.2361359875	0.2343811126	0.2343811126	0.2343801104	0	0.0085639842	0.0294596589	0.0362637333	0.0480231129	0.0462658189	0.2691883366	0.2691883366	0.2674978963	0.2674978963	0.2623834854	0.2657822887	0.3374388641	0.3359214021	0.3835286762	0.383531538	0.3785068816	0.3768416532	0.431806744	0.4301501872	0.430149185	0.4318025339	0.398382073	0.3818496605	0.5813919153	0.5830415174	0.5830415174	0.5845835388	0.5862393346	0.5781532142	0.57650508	0.578153626	0.7206181284	0.580395245	0.5787408322	0.5303598595	0.5270000506	0.495466539	0.4988271181	0.2204369703
JN558066.1_Symbiodinium_sp._F1	0.2014959097	0.2014959097	0.2014949075	0.1998279273	0.1999057504	0.2099752203	0.2081152874	0.2081152874	0.2118465743	0.2175668572	0.2055904066	0.2515443417	0.2582904778	0.275661553	0.2722516236	0.1801344314	0.1784707473	0.1784707473	0.1819616463	0.1889899537	0.1873272049	0.1856726312	0.1798930987	0.2290788591	0.2222779441	0.2275740077	0.2258191328	0.2258191328	0.2258181306	0.0085639842	0	0.0208976791	0.0277017535	0.0394611331	0.0377038391	0.2606263568	0.2606263568	0.2589359165	0.2589359165	0.2538215056	0.2572203089	0.3288768843	0.3273594223	0.3749666964	0.3749695582	0.3699449018	0.3682796734	0.4232447642	0.4215882074	0.4215872052	0.4232405541	0.3898200932	0.3732876807	0.5728299355	0.5744795376	0.5744795376	0.576021559	0.5776773548	0.5695912344	0.5679431002	0.5695916462	0.7120561486	0.5718332652	0.5701788524	0.5217978797	0.5184380708	0.4869045592	0.4902651383	0.2118749905
JN558072.1_Symbiodinium_sp._F5.2g	0.1862750074	0.1862750074	0.1862740052	0.184607025	0.1846848481	0.194754318	0.1928943851	0.1928943851	0.196625672	0.2023459549	0.1903695043	0.2363234394	0.2430695755	0.2604406507	0.2570307213	0.1649135291	0.163249845	0.163249845	0.166740744	0.1737690514	0.1721063026	0.1704517289	0.1646721964	0.2138579568	0.2070570418	0.2123531054	0.2105982305	0.2105982305	0.2105972283	0.0294596589	0.0208976791	0	0.010287621	0.0242402308	0.0224829368	0.2454054545	0.2454054545	0.2437150142	0.2437150142	0.2386006033	0.2419994066	0.313655982	0.31213852	0.3597457941	0.3597486559	0.3547239995	0.3530587711	0.4080238619	0.4063673051	0.4063663029	0.4080196518	0.3745991909	0.3580667784	0.5576090332	0.5592586353	0.5592586353	0.5608006567	0.5624564525	0.5543703321	0.5527221979	0.5543707439	0.6968352463	0.5566123629	0.5549579501	0.5065769774	0.5032171685	0.4716836569	0.475044236	0.1966540882
AJ872077.1_Symbiodinium_sp._clade_F_isolate_RII40_971X	0.1930790818	0.1930790818	0.1930780796	0.1914110994	0.1914889225	0.2015583924	0.1996984595	0.1996984595	0.2034297464	0.2091500293	0.1971735787	0.2431275138	0.2498736499	0.2672447251	0.2638347957	0.1717176035	0.1700539194	0.1700539194	0.1735448184	0.1805731258	0.178910377	0.1772558033	0.1714762708	0.2206620312	0.2138611162	0.2191571798	0.2174023049	0.2174023049	0.2174013027	0.0362637333	0.0277017535	0.010287621	0	0.0310443052	0.0292870112	0.2522095289	0.2522095289	0.2505190886	0.2505190886	0.2454046777	0.248803481	0.3204600564	0.3189425944	0.3665498685	0.3665527303	0.3615280739	0.3598628455	0.4148279363	0.4131713795	0.4131703773	0.4148237262	0.3814032653	0.3648708528	0.5644131076	0.5660627097	0.5660627097	0.5676047311	0.5692605269	0.5611744065	0.5595262723	0.5611748183	0.7036393207	0.5634164373	0.5617620245	0.5133810518	0.5100212429	0.4784877313	0.4818483104	0.2034581626
JN558063.1_Symbiodinium_sp._F5.1	0.188655567	0.188655567	0.1886545648	0.1869875846	0.1870654077	0.1971348776	0.1952749447	0.1952749447	0.1990062316	0.2047265145	0.1927500639	0.238703999	0.2454501351	0.2628212103	0.2594112809	0.1672940887	0.1656304046	0.1656304046	0.1691213036	0.176149611	0.1744868622	0.1728322885	0.167052756	0.2162385164	0.2094376014	0.214733665	0.2129787901	0.2129787901	0.2129777879	0.0480231129	0.0394611331	0.0242402308	0.0310443052	0	0.0190081222	0.2477860141	0.2477860141	0.2460955738	0.2460955738	0.2409811629	0.2443799662	0.3160365416	0.3145190796	0.3621263537	0.3621292155	0.3571045591	0.3554393307	0.4104044215	0.4087478647	0.4087468625	0.4104002114	0.3769797505	0.360447338	0.5599895928	0.5616391949	0.5616391949	0.5631812163	0.5648370121	0.5567508917	0.5551027575	0.5567513035	0.6992158059	0.5589929225	0.5573385097	0.508957537	0.5055977281	0.4740642165	0.4774247956	0.1990346478
JN558069.1_Symbiodinium_sp._F5.1d	0.186898273	0.186898273	0.1868972708	0.1852302906	0.1853081137	0.1953775836	0.1935176507	0.1935176507	0.1972489376	0.2029692205	0.1909927699	0.236946705	0.2436928411	0.2610639163	0.2576539869	0.1655367947	0.1638731106	0.1638731106	0.1673640096	0.174392317	0.1727295682	0.1710749945	0.165295462	0.2144812224	0.2076803074	0.212976371	0.2112214961	0.2112214961	0.2112204939	0.0462658189	0.0377038391	0.0224829368	0.0292870112	0.0190081222	0	0.2460287201	0.2460287201	0.2443382798	0.2443382798	0.2392238689	0.2426226722	0.3142792476	0.3127617856	0.3603690597	0.3603719215	0.3553472651	0.3536820367	0.4086471275	0.4069905707	0.4069895685	0.4086429174	0.3752224565	0.358690044	0.5582322988	0.5598819009	0.5598819009	0.5614239223	0.5630797181	0.5549935977	0.5533454635	0.5549940095	0.6974585119	0.5572356285	0.5555812157	0.507200243	0.5038404341	0.4723069225	0.4756675016	0.1972773538
KT149349.1_Symbiodinium_minutum_strain_Mf	0.2239027141	0.2239027141	0.2239017119	0.2222347317	0.2223125548	0.2323820247	0.2305220918	0.2305220918	0.2342533787	0.2399736616	0.227997211	0.2896045583	0.2963506944	0.3137217696	0.3103118402	0.218194648	0.2165309639	0.2165309639	0.2200218629	0.2270501703	0.2253874215	0.2237328478	0.2179533153	0.2671390757	0.2603381607	0.2656342243	0.2638793494	0.2638793494	0.2638783472	0.2691883366	0.2606263568	0.2454054545	0.2522095289	0.2477860141	0.2460287201	0	0.0000020044	0.0016944491	0.0016944491	0.006811371	0.0102101743	0.3512836887	0.3497662267	0.3973735008	0.3973763626	0.3923517062	0.3906864778	0.4456515686	0.4439950118	0.4439940096	0.4456473585	0.4122268976	0.3956944851	0.5952367399	0.596886342	0.596886342	0.5984283634	0.6000841592	0.5919980388	0.5903499046	0.5919984506	0.734462953	0.5942400696	0.5925856568	0.5442046841	0.5408448752	0.5093113636	0.5126719427	0.2342817949
KT149346.1_Symbiodinium_antillogorgium	0.2239027141	0.2239027141	0.2239017119	0.2222347317	0.2223125548	0.2323820247	0.2305220918	0.2305220918	0.2342533787	0.2399736616	0.227997211	0.2896045583	0.2963506944	0.3137217696	0.3103118402	0.218194648	0.2165309639	0.2165309639	0.2200218629	0.2270501703	0.2253874215	0.2237328478	0.2179533153	0.2671390757	0.2603381607	0.2656342243	0.2638793494	0.2638793494	0.2638783472	0.2691883366	0.2606263568	0.2454054545	0.2522095289	0.2477860141	0.2460287201	0.0000020044	0	0.0016944491	0.0016944491	0.006811371	0.0102101743	0.3512836887	0.3497662267	0.3973735008	0.3973763626	0.3923517062	0.3906864778	0.4456515686	0.4439950118	0.4439940096	0.4456473585	0.4122268976	0.3956944851	0.5952367399	0.596886342	0.596886342	0.5984283634	0.6000841592	0.5919980388	0.5903499046	0.5919984506	0.734462953	0.5942400696	0.5925856568	0.5442046841	0.5408448752	0.5093113636	0.5126719427	0.2342817949
KT149350.1_Symbiodinium_pseudominutum	0.2222122738	0.2222122738	0.2222112716	0.2205442914	0.2206221145	0.2306915844	0.2288316515	0.2288316515	0.2325629384	0.2382832213	0.2263067707	0.287914118	0.2946602541	0.3120313293	0.3086213999	0.2165042077	0.2148405236	0.2148405236	0.2183314226	0.22535973	0.2236969812	0.2220424075	0.216262875	0.2654486354	0.2586477204	0.263943784	0.2621889091	0.2621889091	0.2621879069	0.2674978963	0.2589359165	0.2437150142	0.2505190886	0.2460955738	0.2443382798	0.0016944491	0.0016944491	0	0.0000020044	0.0051209307	0.008519734	0.3495932484	0.3480757864	0.3956830605	0.3956859223	0.3906612659	0.3889960375	0.4439611283	0.4423045715	0.4423035693	0.4439569182	0.4105364573	0.3940040448	0.5935462996	0.5951959017	0.5951959017	0.5967379231	0.5983937189	0.5903075985	0.5886594643	0.5903080103	0.7327725127	0.5925496293	0.5908952165	0.5425142438	0.5391544349	0.5076209233	0.5109815024	0.2325913546
KT149347.1_Symbiodinium_endomadracis	0.2222122738	0.2222122738	0.2222112716	0.2205442914	0.2206221145	0.2306915844	0.2288316515	0.2288316515	0.2325629384	0.2382832213	0.2263067707	0.287914118	0.2946602541	0.3120313293	0.3086213999	0.2165042077	0.2148405236	0.2148405236	0.2183314226	0.22535973	0.2236969812	0.2220424075	0.216262875	0.2654486354	0.2586477204	0.263943784	0.2621889091	0.2621889091	0.2621879069	0.2674978963	0.2589359165	0.2437150142	0.2505190886	0.2460955738	0.2443382798	0.0016944491	0.0016944491	0.0000020044	0	0.0051209307	0.008519734	0.3495932484	0.3480757864	0.3956830605	0.3956859223	0.3906612659	0.3889960375	0.4439611283	0.4423045715	0.4423035693	0.4439569182	0.4105364573	0.3940040448	0.5935462996	0.5951959017	0.5951959017	0.5967379231	0.5983937189	0.5903075985	0.5886594643	0.5903080103	0.7327725127	0.5925496293	0.5908952165	0.5425142438	0.5391544349	0.5076209233	0.5109815024	0.2325913546
LK934671.1_Symbiodinium_psygmophilum	0.2170978629	0.2170978629	0.2170968607	0.2154298805	0.2155077036	0.2255771735	0.2237172406	0.2237172406	0.2274485275	0.2331688104	0.2211923598	0.2827997071	0.2895458432	0.3069169184	0.303506989	0.2113897968	0.2097261127	0.2097261127	0.2132170117	0.2202453191	0.2185825703	0.2169279966	0.2111484641	0.2603342245	0.2535333095	0.2588293731	0.2570744982	0.2570744982	0.257073496	0.2623834854	0.2538215056	0.2386006033	0.2454046777	0.2409811629	0.2392238689	0.006811371	0.006811371	0.0051209307	0.0051209307	0	0.0034008077	0.3444788375	0.3429613755	0.3905686496	0.3905715114	0.385546855	0.3838816266	0.4388467174	0.4371901606	0.4371891584	0.4388425073	0.4054220464	0.3888896339	0.5884318887	0.5900814908	0.5900814908	0.5916235122	0.593279308	0.5851931876	0.5835450534	0.5851935994	0.7276581018	0.5874352184	0.5857808056	0.5373998329	0.534040024	0.5025065124	0.5058670915	0.2274769437
KT149345.1_Symbiodinium_aenigmaticum	0.2204966662	0.2204966662	0.220495664	0.2188286838	0.2189065069	0.2289759768	0.2271160439	0.2271160439	0.2308473308	0.2365676137	0.2245911631	0.2861985104	0.2929446465	0.3103157217	0.3069057923	0.2147886001	0.213124916	0.213124916	0.216615815	0.2236441224	0.2219813736	0.2203267999	0.2145472674	0.2637330278	0.2569321128	0.2622281764	0.2604733015	0.2604733015	0.2604722993	0.2657822887	0.2572203089	0.2419994066	0.248803481	0.2443799662	0.2426226722	0.0102101743	0.0102101743	0.008519734	0.008519734	0.0034008077	0	0.3478776408	0.3463601788	0.3939674529	0.3939703147	0.3889456583	0.3872804299	0.4422455207	0.4405889639	0.4405879617	0.4422413106	0.4088208497	0.3922884372	0.591830692	0.5934802941	0.5934802941	0.5950223155	0.5966781113	0.5885919909	0.5869438567	0.5885924027	0.7310569051	0.5908340217	0.5891796089	0.5407986362	0.5374388273	0.5059053157	0.5092658948	0.230875747
FN561559.1_Symbiodinium_sp._nr_I1	0.2518068648	0.2518068648	0.2518058626	0.2501388824	0.2502167055	0.2602861754	0.2584262425	0.2584262425	0.2621575294	0.2678778123	0.2559013617	0.3578550858	0.3646012219	0.3819722971	0.3785623677	0.2864451755	0.2847814914	0.2847814914	0.2882723904	0.2953006978	0.293637949	0.2919833753	0.2862038428	0.3353896032	0.3285886882	0.3338847518	0.3321298769	0.3321298769	0.3321288747	0.3374388641	0.3288768843	0.313655982	0.3204600564	0.3160365416	0.3142792476	0.3512836887	0.3512836887	0.3495932484	0.3495932484	0.3444788375	0.3478776408	0	0.0050584214	0.2015279385	0.2015308003	0.1965061439	0.1948409155	0.3509631389	0.3493065821	0.3493055799	0.3509589288	0.3175384679	0.3010060554	0.5005483102	0.5021979123	0.5021979123	0.5037399337	0.5053957295	0.4973096091	0.4956614749	0.4973100209	0.6397745233	0.4995516399	0.4978972271	0.4495162544	0.4461564455	0.4146229339	0.417983513	0.2621859456
FN561560.1_Symbiodinium_sp._nr_I2	0.2502894028	0.2502894028	0.2502884006	0.2486214204	0.2486992435	0.2587687134	0.2569087805	0.2569087805	0.2606400674	0.2663603503	0.2543838997	0.3563376238	0.3630837599	0.3804548351	0.3770449057	0.2849277135	0.2832640294	0.2832640294	0.2867549284	0.2937832358	0.292120487	0.2904659133	0.2846863808	0.3338721412	0.3270712262	0.3323672898	0.3306124149	0.3306124149	0.3306114127	0.3359214021	0.3273594223	0.31213852	0.3189425944	0.3145190796	0.3127617856	0.3497662267	0.3497662267	0.3480757864	0.3480757864	0.3429613755	0.3463601788	0.0050584214	0	0.2000104765	0.2000133383	0.1949886819	0.1933234535	0.3494456769	0.3477891201	0.3477881179	0.3494414668	0.3160210059	0.2994885934	0.4990308482	0.5006804503	0.5006804503	0.5022224717	0.5038782675	0.4957921471	0.4941440129	0.4957925589	0.6382570613	0.4980341779	0.4963797651	0.4479987924	0.4446389835	0.4131054719	0.416466051	0.2606684836
LC503502.1	0.2978966769	0.2978966769	0.2978956747	0.2962286945	0.2963065176	0.3063759875	0.3045160546	0.3045160546	0.3082473415	0.3139676244	0.3019911738	0.4039448979	0.410691034	0.4280621092	0.4246521798	0.3325349876	0.3308713035	0.3308713035	0.3343622025	0.3413905099	0.3397277611	0.3380731874	0.3322936549	0.3814794153	0.3746785003	0.3799745639	0.378219689	0.378219689	0.3782186868	0.3835286762	0.3749666964	0.3597457941	0.3665498685	0.3621263537	0.3603690597	0.3973735008	0.3973735008	0.3956830605	0.3956830605	0.3905686496	0.3939674529	0.2015279385	0.2000104765	0	0.0033571994	0.005023799	0.0066916972	0.397052951	0.3953963942	0.395395392	0.3970487409	0.36362828	0.3470958675	0.5466381223	0.5482877244	0.5482877244	0.5498297458	0.5514855416	0.5433994212	0.541751287	0.543399833	0.6858643354	0.545641452	0.5439870392	0.4956060665	0.4922462576	0.460712746	0.4640733251	0.3082757577
LC503503.1	0.2978995387	0.2978995387	0.2978985365	0.2962315563	0.2963093794	0.3063788493	0.3045189164	0.3045189164	0.3082502033	0.3139704862	0.3019940356	0.4039477597	0.4106938958	0.428064971	0.4246550416	0.3325378494	0.3308741653	0.3308741653	0.3343650643	0.3413933717	0.3397306229	0.3380760492	0.3322965167	0.3814822771	0.3746813621	0.3799774257	0.3782225508	0.3782225508	0.3782215486	0.383531538	0.3749695582	0.3597486559	0.3665527303	0.3621292155	0.3603719215	0.3973763626	0.3973763626	0.3956859223	0.3956859223	0.3905715114	0.3939703147	0.2015308003	0.2000133383	0.0033571994	0	0.0050266608	0.006694559	0.3970558128	0.395399256	0.3953982538	0.3970516027	0.3636311418	0.3470987293	0.5466409841	0.5482905862	0.5482905862	0.5498326076	0.5514884034	0.543402283	0.5417541488	0.5434026948	0.6858671972	0.5456443138	0.543989901	0.4956089283	0.4922491194	0.4607156078	0.4640761869	0.3082786195
